Month,Brand_name,Shoe_Size,Forecast_value,Low,High
4,Yeezy,13.0,110.0,-209.0,429.0
5,Yeezy,13.0,110.0,-245.0,465.0
6,Yeezy,13.0,110.0,-278.0,498.0
1,Yeezy,13.5,4.0,-7.0,15.0
2,Yeezy,13.5,4.0,-11.0,19.0
3,Yeezy,13.5,4.0,-14.0,22.0
4,Yeezy,13.5,4.0,-17.0,25.0
5,Yeezy,13.5,4.0,-19.0,27.0
6,Yeezy,13.5,4.0,-21.0,29.0
1,Yeezy,14.0,69.0,-1.0,139.0
2,Yeezy,14.0,69.0,-27.0,165.0
3,Yeezy,14.0,69.0,-46.0,184.0
4,Yeezy,14.0,69.0,-63.0,201.0
5,Yeezy,14.0,69.0,-78.0,216.0
6,Yeezy,14.0,69.0,-92.0,230.0
1,Yeezy,14.5,3.0,-3.0,9.0
2,Yeezy,14.5,3.0,-5.0,11.0
3,Yeezy,14.5,3.0,-7.0,13.0
4,Yeezy,14.5,3.0,-8.0,14.0
5,Yeezy,14.5,3.0,-10.0,16.0
6,Yeezy,14.5,3.0,-11.0,17.0
1,Yeezy,16.0,0.0,-4.0,4.0
2,Yeezy,16.0,0.0,-6.0,6.0
3,Yeezy,16.0,0.0,-7.0,7.0
4,Yeezy,16.0,0.0,-8.0,8.0
5,Yeezy,16.0,0.0,-8.0,8.0
6,Yeezy,16.0,0.0,-9.0,9.0
